Ano;Mes;Categoria;Sub-categoria;Producto;Pais;Cadena;Marca;Marca_propia;Peso_Volumen;Promocion;Precio_Normal;Precio_Oferta
2021;Diciembre;Aguas;Agua mineral;Agua con gas;Argentina;Carrefour;Carrefour;1;2,000;1;ARS52,00;ARS46,80
2021;Diciembre;Aguas;Agua mineral;Agua con gas;Argentina;Carrefour;Carrefour;1;2,250;1;ARS65,00;ARS59,15
2022;Marzo;Aguas;Agua mineral;Agua con gas;Argentina;Carrefour;Carrefour;1;2,000;1;ARS52,00;ARS51,06
2022;Marzo;Aguas;Agua mineral;Agua con gas;Argentina;Carrefour;Carrefour;1;2,250;1;ARS65,00;ARS63,83
2021;Diciembre;Aguas;Agua mineral;Agua con gas;Argentina;Carrefour;Eco de los Andes;0;0,500;0;ARS64,90;
2022;Marzo;Aguas;Agua mineral;Agua con gas;Argentina;Carrefour;Eco de los Andes;0;0,500;0;ARS71,39;
2021;Diciembre;Aguas;Agua mineral;Agua con gas;Argentina;Carrefour;Kin;0;0,500;0;ARS61,80;
2022;Marzo;Aguas;Agua mineral;Agua con gas;Argentina;Carrefour;Kin;0;0,500;0;ARS61,80;
2021;Diciembre;Aguas;Agua mineral;Agua con gas;Argentina;Carrefour;Sierra de los Padres;0;1,500;0;ARS54,50;
2022;Marzo;Aguas;Agua mineral;Agua con gas;Argentina;Carrefour;Sierra de los Padres;0;1,500;0;ARS59,95;
2021;Diciembre;Aguas;Agua mineral;Agua con gas;Argentina;Carrefour;Villavicencio;0;0,500;0;ARS68,50;
2021;Diciembre;Aguas;Agua mineral;Agua con gas;Argentina;Carrefour;Villavicencio;0;1,500;0;ARS87,18;
2022;Marzo;Aguas;Agua mineral;Agua con gas;Argentina;Carrefour;Villavicencio;0;1,500;0;ARS87,18;
2022;Marzo;Aguas;Agua mineral;Agua con gas;Argentina;Carrefour;Villavicencio;0;0,500;0;ARS68,50;
2021;Diciembre;Aguas;Agua mineral;Agua con gas;Argentina;Jumbo;Eco de los Andes;0;1,5;0;ARS63,91;
2022;Marzo;Aguas;Agua mineral;Agua con gas;Argentina;Jumbo;Eco De Los Andes;0;1,5;0;ARS63,91;
2021;Diciembre;Aguas;Agua mineral;Agua con gas;Argentina;Jumbo;Villavicencio;0;0,5;0;ARS56,26;
